id,rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
,PF20305.1,prokaryotic YEATS domain,Family,58,99,4254,73.3,21,Pfam seed
,PF07831.16,Pyrimidine nucleoside phosphorylase C-terminal domain,Domain,44,75,3228,73.4,30,Pfam seed
,PF11112.11,Pyocin activator protein PrtN,Family,16,78,1184,74.0,33,Pfam seed
,PF06958.15,S-type Pyocin,Family,36,195,4949,137.5,23,Pfam seed
,PF08052.14,PyrBI operon leader peptide,Family,2,44,88,44.0,82,Pfam seed
,PF01948.21,"Aspartate carbamoyltransferase regulatory chain, allosteric domain",Domain,207,109,18996,91.8,41,Pfam seed
,PF00282.22,Pyridoxal-dependent decarboxylase conserved domain,Domain,9,404,3331,370.1,31,Pfam seed
,PF12766.10,Pyridoxamine 5'-phosphate oxidase,Family,47,154,5022,106.9,33,Pfam seed
,PF12900.10,Pyridoxamine 5'-phosphate oxidase,Family,79,195,10597,134.1,23,Pfam seed
,PF13883.9,Pyridoxamine 5'-phosphate oxidase,Domain,30,248,5164,172.1,28,Pfam seed
,PF16242.8,Pyridoxamine 5'-phosphate oxidase like,Domain,18,153,2649,147.2,32,Pfam seed
,PF02758.19,PAAD/DAPIN/Pyrin domain,Domain,180,98,13581,75.5,26,Pfam seed
,PF02748.18,"Aspartate carbamoyltransferase regulatory chain, metal binding domain",Domain,129,61,6281,48.7,37,Pfam seed
,PF00719.22,Inorganic pyrophosphatase,Domain,498,253,81114,162.9,36,Pfam seed
,PF03013.17,Pyrimidine dimer DNA glycosylase,Domain,81,130,6693,82.6,25,Pfam seed
,PF00070.30,Pyridine nucleotide-disulphide oxidoreductase,Domain,90,114,7266,80.7,23,Pfam seed
,PF07992.17,Pyridine nucleotide-disulphide oxidoreductase,Domain,64,567,19829,309.8,21,Pfam seed
,PF13738.9,Pyridine nucleotide-disulphide oxidoreductase,Family,60,379,17492,291.5,32,Pfam seed
,PF02852.25,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain",Domain,82,142,9080,110.7,29,Pfam seed
,PF09690.13,Plasmodium yoelii subtelomeric region (PYST-C1),Domain,10,69,581,58.1,45,Pfam seed
,PF09689.13,Plasmodium yoelii repeat (PY_rept_46),Disordered,6,55,284,47.3,59,Pfam seed
,PF06640.14,P protein C-terminus,Family,2,252,445,222.5,60,Pfam seed
,PF14974.9,Protein C10,Family,18,108,1853,102.9,37,Pfam seed
,PF06321.14,Major fimbrial subunit protein (FimA),Domain,32,283,4983,155.7,16,Pfam seed
,PF01483.23,Proprotein convertase P-domain,Family,42,113,3644,86.8,30,Pfam seed
,PF09796.12,Ubiquinol-cytochrome-c reductase complex subunit (QCR10),Family,92,76,5763,62.6,36,Pfam seed
,PF19297.2,QcrA subunit N-terminal region,Family,85,273,18811,221.3,45,Pfam seed
,PF08992.14,"Quinohemoprotein amine dehydrogenase, gamma subunit",Domain,9,75,671,74.6,64,Pfam seed
,PF15884.8,"MICOS complex subunit MIC13, QIL1",Family,63,101,4802,76.2,23,Pfam seed
,PF08880.14,QLQ,Domain,115,40,4018,34.9,36,Pfam seed
,PF14930.9,"Quinohemoprotein amine dehydrogenase, alpha subunit domain II",Domain,11,119,1181,107.4,34,Pfam seed
,PF09099.13,"Quinohemoprotein amine dehydrogenase, alpha subunit domain III",Domain,5,88,409,81.8,28,Pfam seed
,PF09100.13,"Quinohemoprotein amine dehydrogenase, alpha subunit domain IV",Domain,12,144,1589,132.4,44,Pfam seed
,PF18874.3,QPE domain,Domain,36,52,1612,44.8,42,Pfam seed
,PF01729.22,"Quinolinate phosphoribosyl transferase, C-terminal domain",Domain,15,213,2574,171.6,36,Pfam seed
,PF02749.19,"Quinolinate phosphoribosyl transferase, N-terminal domain",Domain,110,108,9735,88.5,28,Pfam seed
,PF18226.4,LasR-specific antiactivator QslA chain E,Domain,4,71,284,71.0,51,Pfam seed
,PF18108.4,QSOX Trx-like domain,Domain,3,109,325,108.3,47,Pfam seed
,PF13652.9,Putative quorum-sensing-regulated virulence factor,Domain,7,112,780,111.4,67,Pfam seed
,PF12843.10,Putative quorum-sensing-regulated virulence factor,Family,79,75,5208,65.9,51,Pfam seed
,PF16274.8,Qua1 domain,Domain,12,53,621,51.8,54,Pfam seed
,PF16551.8,Putative nuclear localisation signal of quaking,Domain,3,30,89,29.7,74,Pfam seed
,PF06508.16,Queuosine biosynthesis protein QueC,Domain,28,252,5967,213.1,38,Pfam seed
,PF14489.9,QueF-like protein,Domain,20,81,1604,80.2,39,Pfam seed
,PF14819.9,"Nitrile reductase, 7-cyano-7-deazaguanine-reductase N-term",Domain,64,114,7071,110.5,52,Pfam seed
,PF08331.13,"Epoxyqueuosine reductase QueG, DUF1730",Family,353,160,27475,77.8,33,Pfam seed
,PF02677.17,Epoxyqueuosine reductase QueH,Family,258,268,45174,175.1,40,Pfam seed
,PF14027.9,Questin oxidase-like,Family,202,906,69243,342.8,26,Pfam seed
,PF06177.14,QueT transporter,Family,189,264,27995,148.1,31,Pfam seed
,PF02547.18,Queuosine biosynthesis protein,Family,594,919,203360,342.4,44,Pfam seed
,PF17064.8,Sleepless protein,Domain,48,240,4481,93.4,24,Pfam seed
,PF04484.15,QWRF family,Family,33,437,10340,313.3,33,Pfam seed
,PF10343.12,"Potential Queuosine, Q, salvage protein family",Family,111,494,32336,291.3,42,Pfam seed
,PF11463.11,R.HinP1I restriction endonuclease,Family,3,208,616,205.3,62,Pfam seed
,PF18299.4,"ATP-grasp domain, R2K clade family 2",Domain,42,201,6417,152.8,29,Pfam seed
,PF14243.9,"ATP-grasp domain, R2K clade family 3",Domain,47,351,8261,175.8,26,Pfam seed
,PF01424.25,R3H domain,Domain,635,117,38837,61.2,26,Pfam seed
,PF13902.9,R3H-associated N-terminal domain,Domain,48,183,5938,123.7,24,Pfam seed
,PF00788.26,Ras association (RalGDS/AF-6) domain,Domain,39,135,3646,93.5,17,Pfam seed
,PF15208.9,Rab15 effector,Family,9,247,2120,235.6,55,Pfam seed
,PF19533.2,Rab3 GTPase-activating protein catalytic subunit C-terminal,Domain,9,241,1841,204.6,63,Pfam seed
,PF13890.9,Rab3 GTPase-activating protein catalytic subunit,Family,43,214,6918,160.9,42,Pfam seed
,PF14656.9,Rab3 GTPase-activating protein regulatory subunit C-terminus,Family,22,705,13104,595.6,37,Pfam seed
,PF14655.9,Rab3 GTPase-activating protein regulatory subunit N-terminus,Family,35,569,14234,406.7,28,Pfam seed
,PF09311.14,Rabaptin-like protein,Coiled-coil,4,311,1225,306.2,49,Pfam seed
,PF03528.18,Rabaptin,Coiled-coil,3,493,1443,481.0,71,Pfam seed
,PF00566.21,Rab-GTPase-TBC domain,Family,69,356,14810,214.6,20,Pfam seed
,PF07711.14,"Rab geranylgeranyl transferase alpha-subunit, insert domain",Domain,9,106,918,102.0,44,Pfam seed
,PF16704.8,Rab binding domain,Domain,3,66,197,65.7,74,Pfam seed
,PF04698.15,Rab effector MyRIP/melanophilin C-terminus,Family,7,753,4995,713.6,62,Pfam seed
,PF09632.13,Rac1-binding domain,Domain,2,297,590,295.0,38,Pfam seed
,PF14574.9,C-terminal domain of RACo the ASKHA domain,Family,131,316,34269,261.6,37,Pfam seed
,PF17650.4,RACo linker region,Family,191,122,17212,90.1,29,Pfam seed
,PF17651.4,RACo middle region,Family,101,167,16372,162.1,36,Pfam seed
,PF16717.8,Ribosome-associated complex head domain,Domain,71,108,6728,94.8,38,Pfam seed
,PF02144.19,Repair protein Rad1/Rec1/Rad17,Family,23,503,6609,287.3,27,Pfam seed
,PF03834.17,Binding domain of DNA repair protein Ercc1 (rad10/Swi10),Family,110,163,12768,116.1,39,Pfam seed
,PF03215.18,Rad17 P-loop domain,Domain,3,203,553,184.3,26,Pfam seed
,PF04824.19,Conserved region of Rad21 / Rec8 like protein,Family,14,57,767,54.8,30,Pfam seed
,PF04825.16,N terminus of Rad21 / Rec8 like protein,Family,105,184,11525,109.8,37,Pfam seed
,PF08730.13,Rad33,Family,12,185,1987,165.6,44,Pfam seed
,PF03835.18,Rad4 transglutaminase-like domain,Domain,25,244,3802,152.1,23,Pfam seed
,PF04423.17,Rad50 zinc hook motif,Motif,52,56,2727,52.4,22,Pfam seed
,PF08423.14,Rad51,Domain,21,334,5421,258.1,57,Pfam seed
,PF15696.8,RAD51 interacting motif,Family,18,39,698,38.8,52,Pfam seed
,PF04098.18,Rad52/22 family double-strand break repair protein,Family,34,215,5126,150.8,32,Pfam seed
,PF08658.13,Rad54 N terminal,Family,81,322,14985,185.0,38,Pfam seed
,PF11976.11,Ubiquitin-2 like Rad60 SUMO-like,Family,32,80,2304,72.0,24,Pfam seed
,PF13881.9,Ubiquitin-2 like Rad60 SUMO-like,Domain,20,145,2241,112.0,37,Pfam seed
,PF04139.16,Rad9,Family,8,367,2176,272.0,27,Pfam seed
,PF08605.13,Fungal Rad9-like Rad53-binding,Family,7,154,929,132.7,30,Pfam seed
,PF04002.18,RadC-like JAB domain,Family,790,183,95820,121.3,35,Pfam seed
,PF04712.15,Radial spokehead-like protein,Family,37,856,18573,502.0,39,Pfam seed
,PF06098.14,Radial spoke protein 3,Family,43,321,12129,282.1,42,Pfam seed
,PF04055.24,Radical SAM superfamily,Domain,491,454,83831,170.7,14,Pfam seed
,PF19238.2,Radical SAM-like domain,Domain,97,171,14596,150.5,49,Pfam seed
,PF16199.8,Radical_SAM C-terminal domain,Family,501,145,42357,84.5,26,Pfam seed
,PF08497.13,Radical SAM N-terminal,Family,272,611,84686,311.3,48,Pfam seed
,PF19864.2,"Radical SAM proteins, N-terminal",Domain,711,308,107575,151.3,45,Pfam seed
,PF18579.4,Rubisco accumulation factor 1 helix turn helix domain,Domain,67,61,4087,61.0,44,Pfam seed
,PF18578.4,Rubisco accumulation factor 1 alpha helical domain,Domain,70,111,7480,106.9,46,Pfam seed
,PF05691.15,Raffinose synthase or seed imbibition protein Sip1,Family,4,865,3041,760.2,42,Pfam seed
,PF15250.9,Raftlin,Family,14,505,6403,457.4,49,Pfam seed
,PF12940.10,"Recombination-activation protein 1 (RAG1), recombinase",Family,2,653,1301,650.5,83,Pfam seed
,PF12560.11,RAG1 importin binding,Family,17,310,4781,281.2,43,Pfam seed
,PF03089.17,Recombination activating protein 2,Repeat,11,347,3728,338.9,59,Pfam seed
,PF13341.9,RAG2 PHD domain,Domain,8,79,626,78.2,69,Pfam seed
,PF03913.16,Ragweed group 5 pollen allergen,Family,3,44,127,42.3,54,Pfam seed
,PF08652.14,RAI1 like PD-(D/E)XK nuclease,Family,117,132,8138,69.6,40,Pfam seed
,PF10257.12,Retinoic acid induced 16-like protein,Repeat,20,683,7542,377.1,29,Pfam seed
,PF11058.11,Antirestriction protein Ral,Family,2,66,130,65.0,75,Pfam seed
,PF05498.14,Rapid ALkalinization Factor (RALF),Family,52,81,3335,64.1,43,Pfam seed
,PF18248.4,RalF C-terminal Sec-7 capping domain,Domain,3,152,444,148.0,54,Pfam seed
,PF20412.1,RALGAPB N-terminal domain,Domain,42,211,5265,125.4,25,Pfam seed
,PF15320.9,"mRNA cap methylation, RNMT-activating mini protein",Family,26,115,2120,81.5,32,Pfam seed
,PF18755.4,Restriction Enzyme Adenine Methylase Associated,Domain,84,139,9105,108.4,25,Pfam seed
,PF04901.16,Receptor activity modifying family,Family,48,111,5247,109.3,39,Pfam seed
,PF06624.15,Ribosome associated membrane protein RAMP4,Family,56,68,3364,60.1,38,Pfam seed
,PF03787.18,RAMP superfamily,Family,147,809,32017,217.8,14,Pfam seed
,PF19402.2,Lanthionine-containing peptide SapB precursor RamS,Family,70,59,2937,42.0,47,Pfam seed
,PF05508.14,RanGTP-binding protein,Family,77,499,25698,333.7,39,Pfam seed
,PF07834.14,RanGAP1 C-terminal domain,Domain,13,188,2259,173.8,49,Pfam seed
,PF18278.4,Receptor activator of the NF-KB cysteine-rich repeat domain 2,Domain,5,41,205,41.0,64,Pfam seed
,PF00638.21,RanBP1 domain,Domain,8,127,981,122.6,42,Pfam seed
,PF08373.13,RAP domain,Domain,63,87,3809,60.5,23,Pfam seed
,PF03085.18,Rhoptry-associated protein 1 (RAP-1),Family,6,251,1444,240.7,26,Pfam seed
,PF07218.14,Rhoptry-associated protein 1 (RAP-1),Family,2,793,1522,761.0,43,Pfam seed
,PF09197.13,"Rap1, DNA-binding",Domain,14,155,1700,121.4,37,Pfam seed
,PF18602.4,Rap1a immunity proteins,Domain,130,210,11976,92.1,20,Pfam seed
,PF11626.11,TRF2-interacting telomeric protein/Rap1 - C terminal domain,Family,74,189,6765,91.4,26,Pfam seed
,PF18282.4,RAP80 N-terminal ubiquitin interaction motif,Domain,2,57,114,57.0,72,Pfam seed
,PF12137.11,RNA polymerase recycling family C-terminal,Domain,62,390,22315,359.9,35,Pfam seed
,PF18801.4,"response regulator aspartate phosphatase H, N terminal",Family,47,62,2912,62.0,36,Pfam seed
,PF10579.12,Rapsyn N-terminal myristoylation and linker region,Repeat,2,80,160,80.0,32,Pfam seed
,PF14538.9,Raptor N-terminal CASPase like domain,Domain,54,198,8225,152.3,39,Pfam seed
,PF02145.18,Rap/ran-GAP,Family,212,564,40642,191.7,31,Pfam seed
,PF00071.25,Ras family,Domain,60,229,9922,165.4,37,Pfam seed
,PF00616.22,GTPase-activator protein for Ras-like GTPase,Family,50,453,10736,214.7,22,Pfam seed
,PF03836.18,RasGAP C-terminus,Family,110,198,15322,139.3,27,Pfam seed
,PF00617.22,RasGEF domain,Family,619,807,117240,189.4,25,Pfam seed
,PF00618.23,RasGEF N-terminal motif,Domain,52,222,5975,114.9,20,Pfam seed
,PF14663.9,Rapamycin-insensitive companion of mTOR RasGEF_N domain,Domain,72,146,7746,107.6,29,Pfam seed
,PF14847.9,Ras-binding domain of Byr2,Domain,42,162,4399,104.7,34,Pfam seed
,PF12234.11,RAVE protein 1 C terminal,Family,61,824,38979,639.0,41,Pfam seed
,PF16207.8,RAWUL domain RING finger- and WD40-associated ubiquitin-like,Domain,56,132,4095,73.1,33,Pfam seed
,PF12768.10,Cortical protein marker for cell polarity,Family,69,192,10206,147.9,27,Pfam seed
,PF08169.14,RBB1NT (NUC162) domain,Domain,28,107,2655,94.8,42,Pfam seed
,PF12338.11,"Ribulose-1,5-bisphosphate carboxylase small subunit",Family,10,49,433,43.3,67,Pfam seed
,PF02341.18,RbcX protein,Family,29,116,3201,110.4,53,Pfam seed
,PF02196.18,Raf-like Ras-binding domain,Domain,54,76,3777,69.9,28,Pfam seed
,PF09457.13,FIP domain,Motif,10,48,438,43.8,36,Pfam seed
,PF06593.14,Raspberry bushy dwarf virus coat protein,Family,1,274,274,274.0,100,Pfam seed
,PF02033.21,Ribosome-binding factor A,Family,709,179,74463,105.0,30,Pfam seed
,PF08081.14,RBM1CTR (NUC064) family,Family,9,50,405,45.0,54,Pfam seed
,PF15519.9,linker between RRM2 and RRM3 domains in RBM39 protein,Domain,86,128,7309,85.0,35,Pfam seed
,PF13397.9,RNA polymerase-binding protein,Family,49,118,5075,103.6,44,Pfam seed
,PF14752.9,Retinol binding protein receptor,Family,31,707,18600,600.0,36,Pfam seed
,PF17208.6,RNA binding Region,Family,40,78,2253,56.3,32,Pfam seed
,PF05025.16,RbsD / FucU transport protein family,Family,246,185,33406,135.8,32,Pfam seed
,PF11464.11,Rabenosyn Rab binding domain,Domain,91,42,3820,42.0,36,Pfam seed
,PF18113.4,Rubredoxin binding C-terminal domain,Domain,41,93,2935,71.6,31,Pfam seed
,PF01858.20,Retinoblastoma-associated protein A domain,Domain,62,286,12220,197.1,33,Pfam seed
,PF01857.23,Retinoblastoma-associated protein B domain,Domain,74,267,11472,155.0,37,Pfam seed
,PF08934.13,Rb C-terminal domain,Domain,5,159,745,149.0,68,Pfam seed
,PF10657.12,Photosystem P840 reaction centre protein PscD,Family,4,144,575,143.8,73,Pfam seed
,PF00415.21,Regulator of chromosome condensation (RCC1) repeat,Repeat,101,105,5270,52.2,27,Pfam seed
,PF13540.9,Regulator of chromosome condensation (RCC1) repeat,Repeat,175,64,5300,30.3,30,Pfam seed
,PF06405.14,Red chlorophyll catabolite reductase (RCC reductase),Family,11,268,2782,252.9,47,Pfam seed
,PF04078.16,"Cell differentiation family, Rcd1-like",Repeat,52,352,13551,260.6,45,Pfam seed
,PF15725.8,Renal cancer differentiation gene 1 protein,Family,3,92,255,85.0,72,Pfam seed
,PF02517.19,Type II CAAX prenyl endopeptidase Rce1-like,Family,683,539,67722,99.2,22,Pfam seed
,PF11776.11,Nickel/cobalt transporter regulator,Family,66,56,3325,50.4,34,Pfam seed
,PF16971.8,"Rough colony protein B, tight adherence - tad - subunit",Family,2,169,330,165.0,31,Pfam seed
,PF16976.8,Flp pilus assembly protein RcpC/CpaB,Family,129,166,14735,114.2,29,Pfam seed
,PF12273.11,"Chitin synthesis regulation, resistance to Congo red",Family,49,302,6634,135.4,29,Pfam seed
,PF07326.14,Regulator of chromosome segregation 1,Family,14,263,3259,232.8,51,Pfam seed
,PF09456.13,RcsC Alpha-Beta-Loop (ABL),Domain,13,95,1184,91.1,35,Pfam seed
,PF05177.15,RCSD region,Family,8,161,837,104.6,38,Pfam seed
,PF16359.8,RcsD-ABL domain,Domain,11,103,1129,102.6,40,Pfam seed
,PF16358.8,RcsF lipoprotein,Family,8,113,873,109.1,50,Pfam seed
,PF14473.9,RD3 protein,Family,29,153,3818,131.7,32,Pfam seed
,PF06271.15,RDD family,Family,49,243,7121,145.3,18,Pfam seed
,PF09187.13,RNA-directed DNA methylation 1,Domain,11,120,1304,118.5,60,Pfam seed
,PF04381.15,"Putative exonuclease, RdgC",Family,96,327,28457,296.4,37,Pfam seed
,PF11002.11,RFPL defining motif (RDM),Domain,16,42,671,41.9,58,Pfam seed
,PF05183.15,RNA dependent RNA polymerase,Family,256,1516,155261,606.5,28,Pfam seed
,PF00680.23,Viral RNA-dependent RNA polymerase,Family,19,624,8433,443.8,17,Pfam seed
,PF00978.24,RNA dependent RNA polymerase,Family,36,545,15808,439.1,27,Pfam seed
,PF00998.26,Viral RNA dependent RNA polymerase,Family,32,544,15676,489.9,29,Pfam seed
,PF02123.19,Viral RNA-directed RNA-polymerase,Family,28,756,13030,465.4,18,Pfam seed
,PF07925.14,Reovirus RNA-dependent RNA polymerase lambda 3,Family,3,1304,3804,1268.0,53,Pfam seed
,PF09231.13,Rice dwarf virus p3,Family,2,970,1928,964.0,42,Pfam seed
,PF10262.12,Rdx family,Family,227,256,20654,91.0,33,Pfam seed
,PF16814.8,Read-through domain,Domain,1,182,182,182.0,100,Pfam seed
,PF11747.11,Killing trait,Family,30,69,2018,67.3,41,Pfam seed
,PF18501.4,Alpha helical recognition lobe domain,Domain,10,283,2427,242.7,31,Pfam seed
,PF17378.5,Meiotic recombination protein REC104,Family,1,182,182,182.0,100,Pfam seed
,PF15165.9,Meiotic recombination protein REC114-like,Family,7,257,1654,236.3,56,Pfam seed
,PF00154.24,recA bacterial DNA recombination protein,Family,14,268,3674,262.4,65,Pfam seed
,PF16786.8,"Recombination enhancement, RecA-dependent nuclease",Domain,3,113,306,102.0,26,Pfam seed
,PF17946.4,RecC C-terminal domain,Domain,130,508,30230,232.5,21,Pfam seed
,PF11465.11,Natural killer cell receptor 2B4,Domain,3,109,321,107.0,46,Pfam seed
,PF11548.11,Protein-tyrosine phosphatase receptor IA-2,Family,24,94,2140,89.2,38,Pfam seed
,PF01030.27,Receptor L domain,Repeat,50,171,5765,115.3,24,Pfam seed
,PF19833.2,"ATP-dependent DNA helicase RecG, domain 3, C-terminal",Domain,8,87,696,87.0,70,Pfam seed
,PF17190.7,RecG N-terminal helical domain,Domain,7,89,608,86.9,31,Pfam seed
,PF17191.7,RecG wedge domain,Domain,6,167,979,163.2,47,Pfam seed
,PF17768.4,RecJ OB domain,Domain,523,252,57047,109.1,25,Pfam seed
,PF07508.16,Recombinase,Domain,66,205,6908,104.7,19,Pfam seed
,PF02565.18,Recombination protein O C terminal,Family,84,203,12892,153.5,18,Pfam seed
,PF11967.11,Recombination protein O N terminal,Domain,87,96,6862,78.9,26,Pfam seed
,PF13114.9,RecO N terminal,Domain,11,78,788,71.6,47,Pfam seed
,PF06959.14,RecQ helicase protein-like 5 (RecQ5),Family,12,208,2382,198.5,62,Pfam seed
,PF16124.8,RecQ zinc-binding,Domain,689,249,46345,67.3,30,Pfam seed
,PF02132.18,RecR protein,Family,748,50,29568,39.5,35,Pfam seed
,PF03837.17,RecT family,Family,72,329,14324,198.9,19,Pfam seed
,PF03838.17,Recombination protein U,Domain,144,174,23263,161.5,43,Pfam seed
,PF02631.19,RecX family,Family,88,196,10902,123.9,23,Pfam seed
,PF07964.14,Rec10 / Red1,Family,10,869,7345,734.5,19,Pfam seed
,PF08534.13,Redoxin,Domain,52,247,7877,151.5,20,Pfam seed
,PF14759.9,Reductase C-terminal,Domain,65,103,5535,85.2,35,Pfam seed
,PF07807.14,RED-like protein C-terminal region,Family,13,125,1475,113.5,55,Pfam seed
,PF07808.16,RED-like protein N-terminal region,Family,25,304,5808,232.3,48,Pfam seed
,PF02014.19,Reeler domain,Family,129,266,16562,128.4,27,Pfam seed
,PF05755.15,Rubber elongation factor protein (REF),Family,29,224,6015,207.4,45,Pfam seed
,PF10715.12,T4-page Endoribonuclease RegB,Domain,1,150,150,150.0,100,Pfam seed
,PF18561.4,Endoribonuclease Regnase 1/ ZC3H12 C-terminal domain,Domain,8,46,368,46.0,58,Pfam seed
,PF11495.11,Archaeal transcriptional regulator TrmB,Family,22,265,5117,232.6,20,Pfam seed
,PF07494.14,Two component regulator propeller,Repeat,659,31,15940,24.2,21,Pfam seed
,PF02010.18,REJ domain,Family,23,814,10556,459.0,20,Pfam seed
,PF03432.17,Relaxase/Mobilisation nuclease domain,Family,17,343,4198,246.9,20,Pfam seed
,PF19296.2,"RelA/SpoT, AH and RIS domains",Domain,82,251,15130,184.5,52,Pfam seed
,PF04607.20,Region found in RelA / SpoT proteins,Family,89,181,10483,117.8,38,Pfam seed
,PF04221.15,RelB antitoxin,Domain,5,89,411,82.2,27,Pfam seed
,PF16180.8,RelB leucine zipper,Domain,5,92,400,80.0,56,Pfam seed
,PF18506.4,RelB Antitoxin alpha helical domain,Domain,25,47,1173,46.9,40,Pfam seed
,PF16181.8,RelB transactivation domain,Domain,2,181,351,175.5,58,Pfam seed
,PF06296.15,RelE toxin of RelE / RelB toxin-antitoxin system,Domain,19,123,2254,118.6,40,Pfam seed
,PF12606.11,Tumour necrosis factor receptor superfamily member 19,Family,13,42,546,42.0,55,Pfam seed
,PF03763.16,"Remorin, C-terminal region",Family,94,126,9950,105.9,35,Pfam seed
,PF03766.16,"Remorin, N-terminal region",Family,21,77,1152,54.9,49,Pfam seed
,PF07850.17,Renin receptor-like protein,Family,28,136,2770,98.9,41,Pfam seed
,PF08978.13,Reoviridae VP9,Domain,2,280,558,279.0,41,Pfam seed
,PF00979.20,"Reovirus outer capsid protein, Sigma 3",Family,5,390,1823,364.6,39,Pfam seed
,PF06016.14,Reovirus core-spike protein lambda-2 (L2),Family,3,1344,3883,1294.3,40,Pfam seed
,PF05993.15,Reovirus major virion structural protein Mu-1/Mu-1C (M2),Family,3,716,1967,655.7,41,Pfam seed
,PF07781.14,Reovirus minor core protein Mu-2,Family,3,811,2187,729.0,36,Pfam seed
,PF06043.14,Reovirus P9-like family,Family,1,334,334,334.0,100,Pfam seed
,PF01664.19,Reovirus viral attachment protein sigma 1,Family,3,221,654,218.0,37,Pfam seed
,PF04582.15,Reovirus sigma C capsid protein C-terminal domain,Domain,4,130,520,130.0,69,Pfam seed
,PF17750.4,Reovirus sigma C capsid protein triple beta spiral,Family,4,40,160,40.0,61,Pfam seed
,PF04057.15,"Replication factor-A protein 1, N-terminal domain",Domain,11,117,1115,101.4,32,Pfam seed
,PF08048.15,Tap RepA1 leader peptide,Family,5,25,123,24.6,65,Pfam seed
,PF04796.15,Plasmid encoded RepA protein,Family,3,181,497,165.7,29,Pfam seed
,PF06970.14,Replication initiator protein A (RepA) N-terminus,Family,14,76,1054,75.3,36,Pfam seed
,PF16900.8,Replication protein A OB domain,Domain,102,114,10152,99.5,39,Pfam seed
,PF07506.14,RepB plasmid partitioning protein,Family,15,212,2635,175.7,18,Pfam seed
,PF10723.12,Replication regulatory protein RepB,Domain,3,86,246,82.0,53,Pfam seed
,PF16793.8,RepB DNA-primase from phage plasmid,Domain,12,343,2839,236.6,20,Pfam seed
,PF06504.14,Replication protein C (RepC),Family,4,278,1091,272.8,55,Pfam seed
,PF05732.14,Firmicute plasmid replication protein (RepL),Family,3,199,519,173.0,35,Pfam seed
,PF03090.20,Replicase family,Family,11,155,1471,133.7,33,Pfam seed
,PF13814.9,Replication-relaxation,Family,27,288,5173,191.6,23,Pfam seed
,PF11423.11,Regulatory protein Mnt,Family,2,28,56,28.0,61,Pfam seed
,PF01421.22,Reprolysin (M12B) family zinc metalloprotease,Domain,17,209,3361,197.7,32,Pfam seed
,PF13574.9,Metallo-peptidase family M12B Reprolysin-like,Domain,6,301,1233,205.5,22,Pfam seed
,PF13582.9,Metallo-peptidase family M12B Reprolysin-like,Domain,23,199,2981,129.6,22,Pfam seed
,PF13583.9,Metallo-peptidase family M12B Reprolysin-like,Domain,4,249,839,209.8,18,Pfam seed
,PF13688.9,Metallo-peptidase family M12,Family,47,383,9581,203.9,23,Pfam seed
,PF20199.1,"Replication initiator protein, pSAM2",Family,98,889,44458,453.7,33,Pfam seed
,PF01446.20,Replication protein,Family,16,334,4005,250.3,32,Pfam seed
,PF17873.4,Replicase polyprotein 1ab,Domain,1,53,53,53.0,100,Pfam seed
,PF01719.20,Plasmid replication protein,Family,7,247,1298,185.4,24,Pfam seed
,PF01051.24,Initiator Replication protein,Family,159,425,36012,226.5,19,Pfam seed
,PF05797.14,Yeast trans-acting factor (REP1/REP2),Family,2,369,679,339.5,22,Pfam seed
,PF08661.14,Replication factor A protein 3,Domain,18,139,1978,109.9,22,Pfam seed
,PF08646.13,Replication factor-A C terminal domain,Family,29,190,4301,148.3,34,Pfam seed
,PF08542.14,Replication factor C C-terminal domain,Domain,316,146,27665,87.5,24,Pfam seed
,PF08724.13,Rep protein catalytic domain like,Domain,9,199,1634,181.6,31,Pfam seed
,PF06926.14,Putative replisome organiser protein C-terminus,Family,3,95,282,94.0,48,Pfam seed
,PF02486.22,Replication initiation factor,Family,34,245,6685,196.6,25,Pfam seed
,PF03248.16,Rer1 family,Family,117,246,19775,169.0,50,Pfam seed
,PF08808.14,RES domain,Domain,180,359,28628,159.0,17,Pfam seed
,PF05140.17,ResB-like family,Family,184,1153,94967,516.1,25,Pfam seed
,PF04851.18,"Type III restriction enzyme, res subunit",Family,52,368,9062,174.3,23,Pfam seed
,PF06954.14,Resistin,Family,28,103,2453,87.6,50,Pfam seed
,PF00239.24,"Resolvase, N terminal domain",Domain,112,208,16026,143.1,26,Pfam seed
,PF14948.9,RESP18 domain,Family,10,108,1025,102.5,50,Pfam seed
,PF00072.27,Response regulator receiver domain,Domain,52,145,5857,112.6,24,Pfam seed
,PF19192.3,Response receiver domain,Domain,42,262,7532,179.3,19,Pfam seed
,PF11407.11,Type II restriction enzyme MunI,Family,2,202,395,197.5,49,Pfam seed
,PF11487.11,Type II restriction enzyme SfiI,Family,3,292,689,229.7,30,Pfam seed
,PF18528.4,RNA editing 3' terminal uridylyl transferase 2 middle domain,Domain,2,93,186,93.0,74,Pfam seed
,PF11891.11,Protein RETICULATA-related,Family,40,206,7058,176.4,35,Pfam seed
,PF02453.20,Reticulon,Family,212,205,33771,159.3,24,Pfam seed
,PF15449.9,Retinal protein,Family,17,1411,21564,1268.5,53,Pfam seed
,PF04527.15,Drosophila Retinin like protein,Family,14,82,916,65.4,53,Pfam seed
